model,H,condition,story,l2_norm_median,participation_ratio,evr_at_100
rwkv,8,normal,stumblinginthedark,998.1201262154682,1.1263041760419243,0.9919154583339691
rwkv,8,normal,superheroesjustforeachother,973.0909536603266,1.0992260825924736,0.9955182978971281
rwkv,8,normal,sweetaspie,981.1607415196264,1.063992341294957,0.9997958408819934
rwkv,8,normal,swimmingwithastronauts,985.0842144369443,1.1024037633538153,0.9946544581001558
rwkv,8,normal,thatthingonmyarm,987.0603148944782,1.1314909691885529,0.9928932741726688
rwkv,8,normal,theadvancedbeginner,995.112651236094,1.0840176378324657,0.9965386128353806
rwkv,8,normal,theclosetthatateeverything,1012.6860347046766,1.1182317636397952,0.9947577103320431
rwkv,8,normal,thecurse,1003.9192134876698,1.083934619669981,0.9955383176459738
rwkv,8,normal,thefreedomridersandme,1007.5521068500971,1.1378912783051003,0.9943872108558486
rwkv,8,normal,theinterview,1005.3412407982286,1.0839938375332083,0.9982980598615123
rwkv,8,normal,thepostmanalwayscalls,987.8969931403292,1.1070135206978517,0.9943926536657024
rwkv,8,normal,theshower,984.7464035887722,1.1249137849153652,0.9939557434097119
rwkv,8,normal,thetiniestbouquet,990.491909583471,1.0736908044371842,0.9992177931252512
rwkv,8,normal,thetriangleshirtwaistconnection,990.2594884792961,1.1206537935015959,0.9971926322797914
rwkv,8,normal,threemonths,1007.1097641473151,1.1080142057854083,0.9953082654852332
rwkv,8,normal,thumbsup,995.3018595766508,1.185735515182516,0.9892374694078339
rwkv,8,normal,tildeath,1000.49406557163,1.1136436075714087,0.9948898775567336
rwkv,8,normal,treasureisland,991.7225857479567,1.1016246967340322,0.9949218779608429
rwkv,8,normal,undertheinfluence,980.546725043659,1.1043297905892597,0.9956050844194093
rwkv,8,normal,vixenandtheussr,978.2522642352034,1.164463372031233,0.9908581140854131
rwkv,8,normal,waitingtogo,989.4303656391302,1.1498877000954977,0.9925185961580507
rwkv,8,normal,whenmothersbullyback,980.0934474700159,1.1263136611522853,0.9939362443318049
rwkv,8,normal,wildwomenanddancingqueens,1011.625546984148,1.118981030059882,0.9978253984310456
rwkv,8,ctx1,adollshouse,935.8121113604689,1.031965413637826,0.9988205399321921
rwkv,8,ctx1,adventuresinsayingyes,939.2124404317059,1.0647048608867296,0.9957593948419473
rwkv,8,ctx1,afatherscover,935.9793083862414,1.0485509804995428,0.9977686689688371
rwkv,8,ctx1,againstthewind,927.5758900977016,1.0356722552538402,0.9996038759698085
rwkv,8,ctx1,alternateithicatom,930.4756064369424,1.053176259214267,0.9968973751301293
rwkv,8,ctx1,avatar,929.9733082283236,1.0376268871987229,0.9979259287857795
rwkv,8,ctx1,backsideofthestorm,911.9849649419127,1.0560369705545056,0.9966334462790106
rwkv,8,ctx1,becomingindian,933.948287815561,1.0633558975337607,0.9957554202666117
rwkv,8,ctx1,beneaththemushroomcloud,924.6646905652487,1.0612644801879854,0.9962952334241475
rwkv,8,ctx1,birthofanation,926.9187708499535,1.0588150654043658,0.9973442479959197
rwkv,8,ctx1,bluehope,934.4113275907175,1.0544864111240706,0.9964061837508461
rwkv,8,ctx1,breakingupintheageofgoogle,946.7095369444494,1.0520394414685192,0.9959952489991547
rwkv,8,ctx1,buck,909.5979632862968,1.0403140454998456,0.9977032673580946
