model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
pythia,8,ctx1,wildwomenanddancingqueens,0.9158551207794974,0.25567557567712906
pythia,128,normal,adollshouse,0.8846195972103656,0.3597238853199595
pythia,128,normal,adventuresinsayingyes,0.85603225205778,0.34245702111681037
pythia,128,normal,afatherscover,0.8206538868220974,0.30232164277968293
pythia,128,normal,againstthewind,0.840090726273045,0.35029082796066274
pythia,128,normal,alternateithicatom,0.8616117564532371,0.38767645709894943
pythia,128,normal,avatar,0.8425931117988298,0.37457082632059097
pythia,128,normal,backsideofthestorm,0.853828949681887,0.3544800751227187
pythia,128,normal,becomingindian,0.8628554952152832,0.3828844397439011
pythia,128,normal,beneaththemushroomcloud,0.8553924890357758,0.38398944277934705
pythia,128,normal,birthofanation,0.8579459124525082,0.3912400304785484
pythia,128,normal,bluehope,0.8554714340326673,0.40049248002665333
pythia,128,normal,breakingupintheageofgoogle,0.8742956821425198,0.3918940187025369
pythia,128,normal,buck,0.8419392771551235,0.34749205890286805
pythia,128,normal,catfishingstrangerstofindmyself,0.8321512556324441,0.29167007327947764
pythia,128,normal,cautioneating,0.855537596015145,0.42293488774249627
pythia,128,normal,christmas1940,0.843853806330214,0.31965581997516374
pythia,128,normal,cocoonoflove,0.8607983451873917,0.4067121538123855
pythia,128,normal,comingofageondeathrow,0.8555874185687408,0.32524937760150135
pythia,128,normal,exorcism,0.8662645346844858,0.45165872390061573
pythia,128,normal,eyespy,0.8663987465842418,0.41957668064166437
pythia,128,normal,firetestforlove,0.8670028042282202,0.3859600181209259
pythia,128,normal,food,0.8601478300189713,0.3979783572860362
pythia,128,normal,forgettingfear,0.8656105065562204,0.3704258741070919
pythia,128,normal,fromboyhoodtofatherhood,0.8836527526891629,0.40819108355878764
pythia,128,normal,gangstersandcookies,0.8669346967775877,0.40724104807184136
pythia,128,normal,goingthelibertyway,0.8737344501766853,0.3733564097791627
pythia,128,normal,goldiethegoldfish,0.8412204167634878,0.36431834577493455
pythia,128,normal,golfclubbing,0.8627479937591767,0.40710515018577315
pythia,128,normal,gpsformylostidentity,0.8470396275095791,0.3425505911780433
pythia,128,normal,hangtime,0.8767656062719423,0.4332095172824079
pythia,128,normal,haveyoumethimyet,0.8500325918873386,0.362768300869808
pythia,128,normal,howtodraw,0.8554814114940456,0.37825222559597416
pythia,128,normal,ifthishaircouldtalk,0.887085227451261,0.3774071395542497
pythia,128,normal,inamoment,0.8125504568736208,0.35406175469504286
pythia,128,normal,itsabox,0.8302542060775533,0.33826529607255135
pythia,128,normal,jugglingandjesus,0.8268650009254693,0.3441952010973761
pythia,128,normal,kiksuya,0.8423952753390478,0.34851714792492433
pythia,128,normal,leavingbaghdad,0.8656849537737271,0.34363614757856425
pythia,128,normal,legacy,0.8498998062147467,0.36177318802922737
pythia,128,normal,life,0.8548904768001304,0.3723327581006957
