story,H,n_words,n_targets,origin_inclusion_rate,origin_inclusion_expected,form_repetition_rate
hangtime,8,1927,1799,0.0038910505836575876,0.0041515308770108976,0.08893829905503058
hangtime,32,1927,1799,0.018343524180100056,0.01660612350804359,0.2595886603668705
hangtime,128,1927,1799,0.06003335186214564,0.06642449403217436,0.5113952195664258
haveyoumethimyet,8,2985,2857,0.0017500875043752187,0.002680067001675042,0.09730486524326216
haveyoumethimyet,32,2985,2857,0.009100455022751138,0.010720268006700168,0.2590129506475324
haveyoumethimyet,128,2985,2857,0.046202310115505775,0.04288107202680067,0.4697234861743087
howtodraw,8,1964,1836,0.0054466230936819175,0.004073319755600814,0.09041394335511982
howtodraw,32,1964,1836,0.014161220043572984,0.016293279022403257,0.24237472766884532
howtodraw,128,1964,1836,0.06699346405228758,0.06517311608961303,0.4760348583877996
ifthishaircouldtalk,8,1854,1726,0.002317497103128621,0.004314994606256742,0.09559675550405562
ifthishaircouldtalk,32,1854,1726,0.009849362688296639,0.017259978425026967,0.2607184241019699
ifthishaircouldtalk,128,1854,1726,0.05793742757821553,0.06903991370010787,0.5249130938586327
inamoment,8,966,838,0.0059665871121718375,0.008281573498964804,0.08949880668257756
inamoment,32,966,838,0.03937947494033413,0.033126293995859216,0.27684964200477324
inamoment,128,966,838,0.1276849642004773,0.13250517598343686,0.5525059665871122
itsabox,8,1708,1580,0.00569620253164557,0.00468384074941452,0.09430379746835443
itsabox,32,1708,1580,0.019620253164556962,0.01873536299765808,0.26962025316455696
itsabox,128,1708,1580,0.08227848101265822,0.07494145199063232,0.529113924050633
jugglingandjesus,8,887,759,0.006587615283267457,0.009019165727170236,0.08432147562582346
jugglingandjesus,32,887,759,0.03293807641633729,0.036076662908680945,0.25559947299077734
jugglingandjesus,128,887,759,0.11462450592885376,0.14430665163472378,0.5085638998682477
kiksuya,8,1699,1571,0.005092297899427116,0.004708652148322542,0.06365372374283895
kiksuya,32,1699,1571,0.022915340547422024,0.01883460859329017,0.23042647994907703
kiksuya,128,1699,1571,0.07574793125397836,0.07533843437316068,0.4863144493952896
leavingbaghdad,8,1976,1848,0.008116883116883116,0.004048582995951417,0.09361471861471861
leavingbaghdad,32,1976,1848,0.020562770562770564,0.016194331983805668,0.24891774891774893
leavingbaghdad,128,1976,1848,0.0670995670995671,0.06477732793522267,0.49512987012987014
legacy,8,1893,1765,0.0056657223796034,0.004226096143687269,0.08725212464589235
legacy,32,1893,1765,0.013597733711048159,0.016904384574749076,0.26628895184135976
legacy,128,1893,1765,0.06288951841359773,0.0676175382989963,0.5371104815864023
life,8,2209,2081,0.0019221528111484864,0.0036215482118605704,0.09466602594906295
life,32,2209,2081,0.013455069678039404,0.014486192847442281,0.26333493512734263
life,128,2209,2081,0.05766458433445459,0.057944771389769126,0.5290725612686209
lifeanddeathontheoregontrail,8,2389,2261,0.0022114108801415304,0.0033486814566764337,0.08447589562140646
lifeanddeathontheoregontrail,32,2389,2261,0.013710747456877488,0.013394725826705735,0.24413976116762495
lifeanddeathontheoregontrail,128,2389,2261,0.055285272003538256,0.05357890330682294,0.4940291906236179
lifereimagined,8,1800,1672,0.0035885167464114833,0.0044444444444444444,0.0861244019138756
lifereimagined,32,1800,1672,0.016148325358851676,0.017777777777777778,0.23863636363636365
lifereimagined,128,1800,1672,0.06997607655502393,0.07111111111111111,0.4988038277511962
listo,8,2371,2243,0.0035666518056174765,0.003374103753690426,0.11502452073116362
listo,32,2371,2243,0.015158270173874276,0.013496415014761703,0.3102987070887205
listo,128,2371,2243,0.054837271511368704,0.053985660059046814,0.5461435577351761
mayorofthefreaks,8,3274,3146,0.0022250476795931343,0.002443494196701283,0.0880483153210426
mayorofthefreaks,32,3274,3146,0.007310870947234584,0.009773976786805132,0.25206611570247933
mayorofthefreaks,128,3274,3146,0.03814367450731087,0.03909590714722053,0.47425301970756517
metsmagic,8,1477,1349,0.004447739065974796,0.005416384563303994,0.08228317272053373
metsmagic,32,1477,1349,0.01630837657524092,0.021665538253215978,0.2268346923647146
metsmagic,128,1477,1349,0.0770941438102298,0.08666215301286391,0.49147516679021497
mybackseatviewofagreatromance,8,1794,1666,0.003601440576230492,0.004459308807134894,0.06842737094837935
mybackseatviewofagreatromance,32,1794,1666,0.01920768307322929,0.017837235228539576,0.226890756302521
mybackseatviewofagreatromance,128,1794,1666,0.07262905162064826,0.0713489409141583,0.4495798319327731
myfathershands,8,942,814,0.006142506142506142,0.008492569002123142,0.11793611793611794
myfathershands,32,942,814,0.02702702702702703,0.03397027600849257,0.29484029484029484
myfathershands,128,942,814,0.1339066339066339,0.13588110403397027,0.5749385749385749
myfirstdaywiththeyankees,8,2786,2658,0.002257336343115124,0.002871500358937545,0.09367945823927765
myfirstdaywiththeyankees,32,2786,2658,0.009405568096313018,0.01148600143575018,0.27878103837471785
myfirstdaywiththeyankees,128,2786,2658,0.04439428141459744,0.04594400574300072,0.5033860045146726
naked,8,3218,3090,0.0025889967637540453,0.002486016159105034,0.09288025889967638
naked,32,3218,3090,0.008414239482200648,0.009944064636420136,0.2563106796116505
naked,128,3218,3090,0.035922330097087375,0.039776258545680544,0.4893203883495146
notontheusualtour,8,1431,1303,0.0030698388334612432,0.005590496156533892,0.08979278587874137
notontheusualtour,32,1431,1303,0.02072141212586339,0.02236198462613557,0.2908672294704528
notontheusualtour,128,1431,1303,0.0920951650038373,0.08944793850454227,0.5541059094397545
odetostepfather,8,2675,2547,0.002355712603062426,0.0029906542056074765,0.11307420494699646
odetostepfather,32,2675,2547,0.008637612877895563,0.011962616822429906,0.30977620730270905
odetostepfather,128,2675,2547,0.04515115822536317,0.047850467289719624,0.5484884177463683
onlyonewaytofindout,8,1889,1761,0.0034071550255536627,0.004235044997353097,0.07325383304940375
onlyonewaytofindout,32,1889,1761,0.017035775127768313,0.01694017998941239,0.24815445769449176
onlyonewaytofindout,128,1889,1761,0.06700738216922203,0.06776071995764955,0.5184554230550823
penpal,8,1592,1464,0.004098360655737705,0.005025125628140704,0.09699453551912568
penpal,32,1592,1464,0.01912568306010929,0.020100502512562814,0.27117486338797814
penpal,128,1592,1464,0.08469945355191257,0.08040201005025126,0.5136612021857924
quietfire,8,1905,1777,0.006752954417557681,0.004199475065616798,0.11311198649409117
quietfire,32,1905,1777,0.020821609454136185,0.01679790026246719,0.2920652785593697
quietfire,128,1905,1777,0.07034327518289252,0.06719160104986877,0.5149127743387732
reachingoutbetweenthebars,8,1490,1362,0.003671071953010279,0.005369127516778523,0.07121879588839941
reachingoutbetweenthebars,32,1490,1362,0.019823788546255508,0.021476510067114093,0.22173274596182085
